Problem Size,% of Direct,% of Vector,% of Indirect
8388608,0.016384,0.016384,0.005461333333
16777216,0.032768,0.032768,0.002978909091
33554432,0.02184533333,0.02184533333,0.00262144
67108864,0.02184533333,0.02184533333,0.002427259259
134217728,0.02184533333,0.02184533333,0.002473056604
268435456,0.02279513043,0.02279513043,0.001099136268
