Problem Size,Direct MFLOP/s,Vector MFLOP/s,Indirect MFLOP/s
8388608,838.8608,838.8608,279.6202667
16777216,1677.7216,1677.7216,152.5201455
33554432,1118.481067,1118.481067,134.217728
67108864,1118.481067,1118.481067,124.2756741
134217728,1118.481067,1118.481067,126.6204981
268435456,1167.110678,1167.110678,56.27577694
